Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s) II(1/s)
0.187 2.02298e+13 6.84403e+12 8.06314e+12 1.68582e+12 2.92138e+12 7.15415e+11 0
0.188 2.04157e+13 6.87812e+12 8.17871e+12 1.69065e+12 2.95066e+12 7.17545e+11 0
0.189 2.06182e+13 6.91199e+12 8.31156e+12 1.69498e+12 2.98003e+12 7.1966e+11 0
0.19 2.08185e+13 6.94572e+12 8.44072e+12 1.69957e+12 3.01072e+12 7.21728e+11 0
0.191 2.09886e+13 6.97834e+12 8.54579e+12 1.70435e+12 3.03633e+12 7.23755e+11 0
0.192 2.11481e+13 7.01043e+12 8.64207e+12 1.70927e+12 3.06061e+12 7.25676e+11 0
0.193 2.1316e+13 7.0429e+12 8.74636e+12 1.71408e+12 3.085e+12 7.27648e+11 0
0.194 2.14568e+13 7.07664e+12 8.8229e+12 1.71855e+12 3.10908e+12 7.29671e+11 0
0.195 2.15934e+13 7.11166e+12 8.89537e+12 1.7229e+12 3.13173e+12 7.31785e+11 0
0.196 2.17357e+13 7.14769e+12 8.9736e+12 1.72751e+12 3.15302e+12 7.33901e+11 0
0.197 2.18902e+13 7.18374e+12 9.06024e+12 1.73203e+12 3.17822e+12 7.35951e+11 0
0.198 2.20406e+13 7.21117e+12 9.15019e+12 1.73653e+12 3.20473e+12 7.3797e+11 0
0.199 2.21716e+13 7.23732e+12 9.22312e+12 1.74101e+12 3.23008e+12 7.40053e+11 0
0.2 2.23116e+13 7.26442e+12 9.30347e+12 1.74552e+12 3.25603e+12 7.42137e+11 0
0.201 2.24567e+13 7.29237e+12 9.38805e+12 1.75007e+12 3.28199e+12 7.44232e+11 0
0.202 2.25905e+13 7.32062e+12 9.46242e+12 1.75474e+12 3.30641e+12 7.46293e+11 0
0.203 2.27315e+13 7.35152e+12 9.54306e+12 1.75948e+12 3.32929e+12 7.48184e+11 0
0.204 2.28797e+13 7.3845e+12 9.62995e+12 1.76439e+12 3.35084e+12 7.49966e+11 0
0.205 2.30222e+13 7.41539e+12 9.7142e+12 1.76962e+12 3.37116e+12 7.518e+11 0
0.206 2.31553e+13 7.44479e+12 9.79097e+12 1.77515e+12 3.39073e+12 7.53695e+11 0
0.207 2.32822e+13 7.47318e+12 9.86452e+12 1.78062e+12 3.40825e+12 7.55659e+11 0
0.208 2.34064e+13 7.50168e+12 9.93378e+12 1.78612e+12 3.42716e+12 7.57663e+11 0
0.209 2.3518e+13 7.52644e+12 9.99481e+12 1.79171e+12 3.44533e+12 7.59686e+11 0
0.21 2.36208e+13 7.55196e+12 1.00451e+13 1.79724e+12 3.46478e+12 7.61708e+11 0
0.211 2.37438e+13 7.57382e+12 1.01183e+13 1.80263e+12 3.48532e+12 7.63764e+11 0
0.212 2.38675e+13 7.59355e+12 1.01944e+13 1.80792e+12 3.50583e+12 7.65809e+11 0
0.213 2.39951e+13 7.61382e+12 1.02745e+13 1.81318e+12 3.52568e+12 7.67829e+11 0
