Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s)
0.269 1.49449e+13 0 4.74146e+12 1.254e+12 7.39372e+12 1.5557e+12
0.27 1.49925e+13 0 4.75723e+12 1.25733e+12 7.41829e+12 1.5597e+12
0.271 1.50402e+13 0 4.773e+12 1.26065e+12 7.44286e+12 1.56371e+12
0.272 1.50879e+13 0 4.78877e+12 1.26398e+12 7.46743e+12 1.56771e+12
0.273 1.51356e+13 0 4.80454e+12 1.26731e+12 7.492e+12 1.57172e+12
0.274 1.51832e+13 0 4.82031e+12 1.27064e+12 7.51657e+12 1.57573e+12
0.275 1.52309e+13 0 4.83608e+12 1.27397e+12 7.54114e+12 1.57974e+12
0.276 1.52786e+13 0 4.85184e+12 1.2773e+12 7.56571e+12 1.58375e+12
0.277 1.53263e+13 0 4.86761e+12 1.28063e+12 7.59027e+12 1.58776e+12
0.278 1.5374e+13 0 4.88338e+12 1.28396e+12 7.61484e+12 1.59177e+12
0.279 1.54217e+13 0 4.89915e+12 1.2873e+12 7.63941e+12 1.59579e+12
0.28 1.54693e+13 0 4.91492e+12 1.29063e+12 7.66399e+12 1.5998e+12
0.281 1.5517e+13 0 4.93069e+12 1.29397e+12 7.68856e+12 1.60382e+12
0.282 1.55647e+13 0 4.94646e+12 1.29731e+12 7.71313e+12 1.60784e+12
0.283 1.56124e+13 0 4.96223e+12 1.30065e+12 7.7377e+12 1.61186e+12
0.284 1.56601e+13 0 4.978e+12 1.30399e+12 7.76228e+12 1.61588e+12
0.285 1.57079e+13 0 4.99377e+12 1.30733e+12 7.78685e+12 1.6199e+12
0.286 1.57556e+13 0 5.00955e+12 1.31067e+12 7.81143e+12 1.62393e+12
0.287 1.58033e+13 0 5.02532e+12 1.31401e+12 7.83601e+12 1.62796e+12
0.288 1.5851e+13 0 5.0411e+12 1.31736e+12 7.86059e+12 1.63198e+12
0.289 1.58988e+13 0 5.05687e+12 1.3207e+12 7.88517e+12 1.63601e+12
0.29 1.59465e+13 0 5.07265e+12 1.32405e+12 7.90976e+12 1.64004e+12
0.291 1.59942e+13 0 5.08843e+12 1.3274e+12 7.93434e+12 1.64408e+12
0.292 1.6042e+13 0 5.1042e+12 1.33075e+12 7.95893e+12 1.64811e+12
0.293 1.60898e+13 0 5.11999e+12 1.3341e+12 7.98352e+12 1.65214e+12
0.294 1.61375e+13 0 5.13577e+12 1.33745e+12 8.00812e+12 1.65618e+12
0.295 1.61853e+13 0 5.15155e+12 1.3408e+12 8.03271e+12 1.66022e+12
0.296 1.62331e+13 0 5.16734e+12 1.34416e+12 8.05731e+12 1.66426e+12
0.297 1.62808e+13 0 5.18312e+12 1.34751e+12 8.08191e+12 1.6683e+12
0.298 1.63286e+13 0 5.19891e+12 1.35087e+12 8.10652e+12 1.67234e+12
