10000
-0.4 0.4
-0.351515 3.64434e+19 1.69488e+24
-0.351435 3.65564e+19 1.70014e+24
-0.351355 3.66697e+19 1.70541e+24
-0.351275 3.67834e+19 1.71069e+24
-0.351195 3.68974e+19 1.71599e+24
-0.351115 3.70118e+19 1.72131e+24
-0.351035 3.71265e+19 1.72665e+24
-0.350955 3.72416e+19 1.732e+24
-0.350875 3.7357e+19 1.73737e+24
-0.350795 3.74728e+19 1.74275e+24
-0.350715 3.75889e+19 1.74816e+24
-0.350635 3.77055e+19 1.75357e+24
-0.350555 3.78223e+19 1.75901e+24
-0.350475 3.79396e+19 1.76446e+24
-0.350395 3.80572e+19 1.76993e+24
-0.350315 3.81751e+19 1.77542e+24
-0.350235 3.82935e+19 1.78092e+24
-0.350155 3.84121e+19 1.78644e+24
-0.350075 3.85312e+19 1.79198e+24
-0.349995 3.86506e+19 1.79753e+24
-0.349915 3.87704e+19 1.8031e+24
-0.349835 3.88906e+19 1.80869e+24
-0.349755 3.90112e+19 1.8143e+24
-0.349675 3.91321e+19 1.81992e+24
-0.349595 3.92534e+19 1.82556e+24
-0.349515 3.93751e+19 1.83122e+24
-0.349435 3.94971e+19 1.8369e+24
-0.349355 3.96195e+19 1.84259e+24
